"","label","pixel1","pixel2","pixel3","pixel4","pixel5","pixel6","pixel7","pixel8","pixel9","pixel10","pixel11","pixel12","pixel13","pixel14","pixel15","pixel16","pixel17","pixel18","pixel19","pixel20","pixel21","pixel22","pixel23","pixel24","pixel25","pixel26","pixel27","pixel28","pixel29","pixel30","pixel31","pixel32","pixel33","pixel34","pixel35","pixel36","pixel37","pixel38","pixel39","pixel40","pixel41","pixel42","pixel43","pixel44","pixel45","pixel46","pixel47","pixel48","pixel49"
"33825","Sandal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1875,51.9375,23.25,0.125,0.3125,0.5625,62.4375,91.875,81.6875,170,102.625,82.3125,79.3125,40.75,84,70.625,35.4375,31.125,61.875,52.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6835","Trouser",0,0,93.5,96.75,53.0625,0,0,0,0,101.75,106.4375,80.0625,0,0,0,0,95.5625,93.125,114,0,0,0,0,80.75,63.625,113.125,0,0,0,0,83.0625,46.5,119.9375,0,0,0,0,74.875,60.8125,118.125,0,0,0,0,75.9375,53.3125,110,0,0
"43582","Sneaker",0,0,0,0,0,0,0,0,0,0,7.5625,2.875,0,0.375,0,0,19.75,166.3125,109.125,119.25,107.9375,32.125,49.25,93.6875,199.5,213.8125,216.875,163.5625,139.1875,175.6875,150.25,159.75,133.6875,113.3125,64.6875,12.3125,47.0625,6.0625,13.9375,20.8125,17.9375,15,0,0,0,0,0,0,0
"40192","Shirt",0,12.1875,75.625,181.875,67.0625,9.3125,0,0,79.3125,121.625,106.125,125.75,77.6875,0,0,109.5,156.125,139.1875,163.6875,109.5,0,0,134.8125,163.875,141.875,159.625,135,0,0,169.875,137.4375,142.5625,147.0625,165.4375,0,0,162.4375,138.9375,147.9375,139.125,167.3125,0,0,93.25,118.75,132.5,110.875,107,0
"37474","Shirt",0,2.9375,65.875,193.0625,70.8125,6.9375,0,0,65.6875,140,149.125,143.625,93.875,0.1875,0,93.5625,148.8125,140.0625,135.3125,126.25,0,0,126.375,132.1875,144.875,133.5,164.625,0,0,145.375,125.8125,157.1875,153.625,163.1875,6.625,0,136.5,129.5625,143.9375,145.3125,151.1875,18.4375,0,124.4375,119.6875,159.9375,137.4375,112.1875,19.875
"42425","Sneaker",0,0,0,0,0,0,0,0,0,0.25,0,0,0.375,10.3125,0,0,10.9375,45.125,79.875,27.75,60.8125,45.25,21.9375,34.4375,48,73.0625,81.0625,86.3125,24.6875,41.25,55.875,57.25,45.625,91.3125,58.375,0,0,2.8125,3.125,7,0,2.1875,0,0,0,0,0,0,0
"36097","Shirt",0,7.9375,93.625,171.5625,107.25,4.875,0,0,102.1875,171.875,167.6875,174.0625,97.1875,0,0,146.5,185.875,172.8125,186.4375,137.0625,0,0,158.5,187.5,175.1875,186.5625,144.6875,0,0,166,192.0625,182.5625,190.875,165.125,0,0,164.1875,179.5,172,175.375,156.875,0,0,104.5625,118.125,123.0625,115.875,105.3125,0
"41436","Shirt",0.0625,75,189.125,185.8125,188.375,112.6875,0.25,15.375,215.9375,177.625,185.5,204.125,207.625,65,0,84.375,107.6875,65.4375,198.625,146.3125,2.125,0,0,131.3125,140.9375,211.0625,46.8125,0,0,4.0625,203.375,208.5,206.875,56.125,0,0,27.0625,184,207,205.5625,92.5625,0.125,0,21.0625,142.875,145.1875,145.875,77.75,0.3125
"47256","Sneaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,3.6875,66.75,91.3125,33.875,79.75,36.875,65.5,100.625,190.5625,204.25,193.9375,141.0625,72.375,103.75,119.5625,128.8125,111.3125,105.0625,62.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33531","Sandal",0,0,0,0,0,0,0,0,0,0.4375,29.6875,0.1875,0,15.6875,0,0.5,0.875,54.5625,137.0625,109.5625,63.6875,0.3125,72.1875,37.5,0.6875,96.6875,165.1875,79.1875,111.4375,186.25,189.0625,174,191.5,187.25,105.5625,1.25,47.875,70.875,73.125,76.375,83.8125,11.375,0,0,0,0,0,0,0
"47398","Sneaker",0,0,0,0,0,0,0,0,0,0,0.25,47,0.125,19.1875,0,0,0,24.9375,214.0625,167.5625,99.25,0.75,0.8125,32.875,168.875,227.4375,226,125.4375,28.9375,127.125,193.6875,219.5625,228.375,218.25,174.125,15.125,20.9375,37.5625,34.125,30.125,59.6875,26.6875,0,0,0,0,0,0,0
"8930","Trouser",0,0,120.1875,182.1875,120.625,0,0,0,0,104.9375,181.75,129.125,0,0,0,0,79.625,152.5625,90.8125,0,0,0,0,63.125,130.5625,74.625,0,0,0,0,57.6875,120.6875,91.625,0,0,0,0,64.6875,115.625,116.0625,0,0,0,0,46.3125,103.8125,105,0,0
"27975","Coat",0,0,23.375,191.6875,36.8125,0,0,0,0,95.0625,211,126.6875,5.375,0,0,1.9375,196.6875,183.3125,193.1875,46.4375,0,0,22.4375,196.8125,188,181.75,67.5625,0,0,42.0625,196.1875,193.0625,183.8125,91,0,0,39.5,184.0625,202.8125,181.875,81.4375,0,0,0.6875,118.0625,211.5,157.1875,0.4375,0
