"","label","pixel1","pixel2","pixel3","pixel4","pixel5","pixel6","pixel7","pixel8","pixel9","pixel10","pixel11","pixel12","pixel13","pixel14","pixel15","pixel16","pixel17","pixel18","pixel19","pixel20","pixel21","pixel22","pixel23","pixel24","pixel25","pixel26","pixel27","pixel28","pixel29","pixel30","pixel31","pixel32","pixel33","pixel34","pixel35","pixel36","pixel37","pixel38","pixel39","pixel40","pixel41","pixel42","pixel43","pixel44","pixel45","pixel46","pixel47","pixel48","pixel49"
"23370","Dress",0,0,59.0625,2.25,55.3125,0.3125,0,0,0,55.375,120.5,64.8125,0.375,0,0,0,70.5625,155.25,79.0625,0.3125,0,0,0,88,158.75,107.375,0.0625,0,0,0,113,158.75,126.1875,0.0625,0,0,0,126,166.5625,122.5,13.0625,0,0,0,130.3125,173.75,133.4375,22.75,0
"44156","Sneaker",0,0,0,0.1875,104.8125,57.875,47.6875,0,0,0,42.375,236.0625,235.5,159.5625,0,0,0.6875,121.8125,228.375,234.1875,183.375,0,0,22.625,197.375,235.8125,238.375,210.9375,0.625,19,167.75,231.375,239.5,238.125,203.375,145,216.625,223.3125,237.375,235.125,231.9375,173.8125,43.4375,103.5,116.25,121.5,111.6875,109.4375,71.125
"27375","Coat",0,0.3125,106.3125,165.9375,135.125,0.375,0,0,19.9375,196.875,203.5625,193.3125,49.625,0,0,82.3125,188.4375,182.875,178.0625,132.6875,0,0,119.125,175.25,201.4375,179.3125,172.875,0,0,138.4375,176.1875,191.0625,179,196.8125,0,0,145.75,186.125,215.6875,189.6875,203.3125,0,0,102.9375,157.25,187.25,168.4375,142.5,0
"15013","Pullover",0,28.625,104.3125,129.75,116.125,48.8125,0.0625,0,105.25,161.5625,136.375,150.875,149.1875,0,0,138.1875,173.5,146.125,158.5,186.8125,0,0,159.375,169.9375,151.5625,161.125,206.6875,0.8125,0,174.75,161.25,152.375,158.75,199.4375,15.375,0,168.5,140.4375,154.125,163.3125,149.8125,33.25,0,112.0625,38.0625,40.75,44.5625,92.25,23.625
"33042","Sandal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.125,80.625,86.75,72.625,18.3125,4.75,51.375,68.25,110.4375,112.1875,111.6875,27.875,113.3125,142.3125,107.875,160.8125,155.5,131.0625,151.9375,0.125,10.25,37.125,10.3125,13.4375,32.5,10.625,0,0,0,0,0,0,0
"9809","Trouser",0,0,101,206,147.375,0,0,0,0,149.0625,227.625,203,0,0,0,0,152.3125,198.6875,206.6875,0,0,0,0,130.625,114.125,199.375,0,0,0,0,120.5625,60.8125,169.625,0,0,0,0,115.0625,46.1875,158.6875,0,0,0,0,87.125,21.1875,101.4375,0,0
"59034","Ankle boot",0,0,0.125,0.3125,0.0625,0.125,5,0,0,8.6875,80.6875,44.3125,82.375,122.6875,0,0.1875,96.75,178.1875,165,151.4375,165.125,0.4375,0.625,171,199.8125,193.875,161.3125,166.75,63.625,93.4375,181.8125,201.625,90.375,65.0625,158,154.6875,212.25,202.8125,141.625,0.5625,59.1875,148.8125,0.125,5.6875,21.3125,3.3125,0.0625,1.8125,1.125
"37412","Shirt",0,3.0625,74,213.125,102.5625,15.8125,0,0.0625,62.6875,135.375,150.625,136.3125,92.5625,0.5,0.125,109.5,156,161,151.75,147.375,0.125,0,159.125,164.75,168.3125,158.0625,172.4375,24.5625,13.8125,196.625,158.5,173.75,159.3125,174.5,59.125,10.25,87.5,159.875,178.75,156.875,96.9375,16.8125,0,14.5625,182,183,178.25,62.25,0
"47984","Sneaker",0,0,0,0,0,0,0,0,0,0,2.9375,11.625,0.25,0,0,0,0.0625,32.4375,91.5,8.125,13.125,0.5,25.625,124.6875,214.9375,214.0625,167.625,106.4375,148.8125,223.125,213.875,228.5,223.875,198.25,94.75,0.8125,24.1875,49.8125,26.5,14.3125,17.5,21.25,0,0,0,0,0,0,0
"14000","Pullover",0,24.5,51.375,66.8125,53.0625,31.6875,0,0,90.5625,55.8125,52.5625,51.9375,82,0.25,0,93.1875,88.375,60.3125,65.75,104.5,8.1875,0,79.75,88,63.5,69.8125,76.5,11.5625,0,73.4375,81.4375,67.3125,73.75,54.875,14.1875,0,60.6875,86.625,74.8125,80.1875,55.4375,17.0625,0,56.8125,83.75,82.3125,83.5625,59.8125,11.9375
